donor_id,recency,frequency,total_amount,avg_amount
D0001,10,6,1564.81,260.8016666666667
D0002,320,2,430.04,215.02
D0003,9,7,1847.82,263.9742857142857
D0004,169,8,932.5,116.5625
D0005,353,3,459.9,153.29999999999998
D0006,81,5,747.94,149.58800000000002
D0007,6,10,1745.07,174.507
D0008,364,6,1534.38,255.73000000000002
D0009,463,3,278.02,92.67333333333333
D0010,38,6,1575.6399999999999,262.6066666666666
D0011,385,3,678.43,226.14333333333332
D0012,24,4,555.4300000000001,138.85750000000002
D0013,96,7,971.14,138.7342857142857
D0014,56,7,1505.6100000000001,215.08714285714288
D0015,126,3,359.34000000000003,119.78000000000002
D0016,162,4,1016.2199999999999,254.05499999999998
D0017,22,5,1842.8700000000001,368.574
D0018,52,6,957.44,159.57333333333335
D0019,133,6,1237.57,206.26166666666666
D0020,259,5,712.31,142.462
D0021,32,4,705.6800000000001,176.42000000000002
D0022,233,8,3429.32,428.665
D0023,5,12,1883.05,156.92083333333332
D0024,74,5,895.87,179.174
D0025,24,5,849.06,169.81199999999998
D0026,41,8,1988.98,248.6225
D0027,133,5,2525.85,505.16999999999996
D0028,164,7,2318.11,331.15857142857146
D0029,53,8,1992.1499999999999,249.01874999999998
D0030,137,6,1910.73,318.455
D0031,98,5,324.72,64.944
D0032,23,7,1106.04,158.00571428571428
D0033,131,5,1078.6599999999999,215.73199999999997
D0034,167,8,1133.56,141.695
D0035,6,11,1278.9,116.26363636363637
D0036,187,6,1546.6,257.76666666666665
D0037,28,5,832.75,166.55
D0038,6,9,1370.46,152.27333333333334
D0039,250,4,1574.08,393.52
D0040,153,3,695.0699999999999,231.68999999999997
D0041,26,8,2484.13,310.51625
D0042,31,11,2332.5,212.04545454545453
D0043,72,4,665.53,166.3825
D0044,60,11,1349.98,122.72545454545455
D0045,32,6,1999.6899999999998,333.28166666666664
D0046,5,7,1192.03,170.29
D0047,101,10,2607.62,260.762
D0048,15,11,2796.01,254.1827272727273
D0049,257,7,1815.69,259.38428571428574
D0050,263,4,983.96,245.99
D0051,12,10,3857.05,385.70500000000004
D0052,23,11,2513.7,228.5181818181818
D0053,10,11,2824.7400000000002,256.79454545454547
D0054,462,4,749.28,187.32
D0055,77,6,1019.1500000000001,169.85833333333335
D0056,29,11,2189.67,199.0609090909091
D0057,18,8,1363.05,170.38125
D0058,306,5,517.03,103.40599999999999
D0059,32,11,3486.61,316.9645454545455
D0060,34,7,1284.6799999999998,183.52571428571426
D0061,76,6,1286.32,214.38666666666666
D0062,15,8,1562.53,195.31625
D0063,5,9,1109.46,123.27333333333334
D0064,33,9,2668.43,296.4922222222222
D0065,12,8,2642.4300000000003,330.30375000000004
D0066,55,4,728.35,182.0875
D0067,78,11,2403.64,218.51272727272726
D0068,3,11,2531.36,230.12363636363636
D0069,86,6,1812.26,302.04333333333335
D0070,74,8,1287.44,160.93
D0071,0,14,3436.91,245.4935714285714
D0072,8,5,1600.72,320.144
D0073,207,6,1831.98,305.33
D0074,97,7,1921.3400000000001,274.4771428571429
D0075,2,6,1392.1599999999999,232.02666666666664
D0076,33,8,1957.9099999999999,244.73874999999998
D0077,143,5,849.96,169.99200000000002
D0078,14,6,1880.08,313.34666666666664
D0079,7,9,2032.5600000000002,225.84000000000003
D0080,58,5,841.2,168.24
D0081,213,8,1583.83,197.97875
D0082,34,6,1598.03,266.3383333333333
D0083,15,3,447.17999999999995,149.05999999999997
D0084,8,10,2045.94,204.594
D0085,100,7,1400.97,200.13857142857142
D0086,28,8,1358.62,169.8275
D0087,40,9,1298.2,144.24444444444444
D0088,56,9,1939.45,215.49444444444444
D0089,4,9,1533.18,170.35333333333335
D0090,6,7,1300.7,185.81428571428572
D0091,87,5,1185.07,237.01399999999998
D0092,70,4,671.98,167.995
D0093,106,6,883.72,147.28666666666666
D0094,31,5,515.9,103.17999999999999
